times,loss
0,33.88694763183594
0,28.768268585205078
0,25.16228675842285
0,18.21816635131836
0,15.165000915527344
0,6.43252420425415
1,7.831143856048584
2,11.168643951416016
3,7.425150394439697
4,5.961888790130615
5,6.302072048187256
6,7.463572025299072
7,6.8485260009765625
8,3.621980667114258
9,3.1876368522644043
10,5.290866851806641
11,3.3660993576049805
12,1.7743616104125977
13,2.9095940589904785
14,1.5560859441757202
15,2.3000378608703613
16,2.8553385734558105
17,0.4765448272228241
18,2.749295473098755
0,3.158060312271118
0,1.467208743095398
0,2.254251480102539
0,2.9654219150543213
0,0.8280784487724304
0,2.3418991565704346
1,3.6551167964935303
2,3.2628672122955322
3,1.3007373809814453
4,2.5968093872070312
5,3.9424657821655273
6,2.44334077835083
7,0.8428614735603333
8,2.0257761478424072
9,1.4418785572052002
10,0.6066524386405945
11,0.8904520273208618
12,0.6260567903518677
13,0.6173309683799744
14,0.8648901581764221
15,0.2906745970249176
16,0.8392152190208435
17,0.4578637182712555
18,1.2446216344833374
19,0.6012269258499146
20,1.4687020778656006
21,1.8391239643096924
0,0.48277565836906433
0,2.2069406509399414
0,2.3863632678985596
0,0.3842880129814148
0,2.31567120552063
0,3.0331339836120605
1,2.5438661575317383
2,0.11331526935100555
3,2.4175453186035156
4,2.6142795085906982
5,0.49853411316871643
6,2.3415322303771973
7,3.8104565143585205
8,2.88183331489563
9,1.2163944244384766
10,2.3554322719573975
11,3.5651957988739014
12,1.9051371812820435
13,1.39602792263031
14,2.34954833984375
15,2.0135717391967773
16,0.29561683535575867
17,1.814678430557251
18,1.2351220846176147
19,0.9144761562347412
