epoch,num_reach_target,num_hit_obs,num_out_of_range,num_moving
0,48,2,0,6
1,48,1,0,7
2,49,4,0,3
3,46,5,0,5
4,52,3,0,1
5,47,4,1,4
6,48,3,0,5
7,48,2,1,5
8,48,3,3,2
9,48,3,1,4
10,50,1,0,5
11,46,5,0,5
12,47,2,0,7
13,48,3,0,5
14,47,2,0,7
15,47,2,1,6
16,49,2,1,4
17,48,3,0,5
18,47,4,0,5
19,46,3,0,7
20,48,1,0,7
21,47,4,0,5
22,45,4,0,7
23,40,4,0,12
24,43,2,0,11
25,47,2,1,6
26,43,4,0,9
27,42,5,1,8
28,44,1,1,10
29,47,4,0,5
30,44,2,0,10
31,42,3,0,11
32,40,4,1,11
33,45,3,0,8
34,46,3,0,7
35,45,3,0,8
36,42,3,0,11
37,49,1,0,6
38,48,2,0,6
39,43,4,0,9
40,46,2,0,8
41,47,3,0,6
42,46,3,0,7
43,46,2,1,7
44,48,2,0,6
45,45,3,0,8
46,48,2,0,6
47,46,4,0,6
48,44,2,0,10
49,45,2,1,8
